name,stocking_info,longitude,county,latitude,alt,size,location
Opal,"Rainbow trout: 2013-08-23 00:00:00__70,Rainbow trout: 2007-07-24 00:00:00__70,Rainbow trout: 2001-09-14 00:00:00__70",-121.076937,Kittitas County,47.453994,6001,1,47.453994 -121.076937
Park - Lower,"Cutthroat trout: 2010-09-07 00:00:00__90,Golden trout: 2002-10-07 00:00:00__780,Rainbow trout: 2010-09-07 00:00:00__90",-121.291352,Kittitas County,47.448234,4506,9.4,47.448234 -121.291352
Laura,"Rainbow trout: 2012-08-20 00:00:00__270,Rainbow trout: 2009-08-17 00:00:00__270,Rainbow trout: 2006-09-17 00:00:00__270,Rainbow trout: 2003-08-18 00:00:00__270,Rainbow trout: 2000-07-16 00:00:00__360",-121.343837,Kittitas County,47.397542,4370,3.2,47.397542 -121.343837
Lillian,"Rainbow trout: 2013-08-28 00:00:00__550,Rainbow trout: 2009-09-09 00:00:00__550,Rainbow trout: 2005-08-13 00:00:00__1,050,Rainbow trout: 2001-07-13 00:00:00__1,370",-121.340309,Kittitas County,47.400701,4784,12.5,47.400701 -121.340309
Lila,"Rainbow trout: 2011-09-10 00:00:00__140,Rainbow trout: 2007-09-15 00:00:00__140,Rainbow trout: 2003-08-31 00:00:00__137",-121.324946,Kittitas County,47.431699,5196,2.8,47.431699 -121.324946
Kendall Peak - Upper,"Rainbow trout: 2012-09-28 00:00:00__130,Rainbow trout: 2010-09-11 00:00:00__130,Rainbow trout: 2008-09-08 00:00:00__130,Rainbow trout: 2006-09-10 00:00:00__130,Rainbow trout: 2004-09-23 00:00:00__130,Rainbow trout: 2002-08-15 00:00:00__129,Rainbow trout: 2000-10-08 00:00:00__125",-121.376074,Kittitas County,47.433119,4740,6,47.433119 -121.376074
Kendall Peak - Middle,"Golden trout: 2012-09-28 00:00:00__75,Golden trout: 2009-08-31 00:00:00__150,Golden trout: 2006-09-10 00:00:00__150,Rainbow trout: 2012-09-28 00:00:00__75,Rainbow trout: 2004-09-23 00:00:00__150,Rainbow trout: 2002-08-15 00:00:00__150,Rainbow trout: 2000-10-08 00:00:00__146",-121.380256,Kittitas County,47.432184,4434,3.7,47.432184 -121.380256
Joe - Little,"Rainbow trout: 2011-09-16 00:00:00__387,Rainbow trout: 2007-08-14 00:00:00__180,Rainbow trout: 2007-08-14 00:00:00__195,Rainbow trout: 2003-09-17 00:00:00__390",-121.155973,Kittitas County,47.387113,4709,4.4,47.387113 -121.155973
Kendall Peak - Lower,"Rainbow trout: 2004-09-23 00:00:00__80,Rainbow trout: 2002-08-15 00:00:00__80,Rainbow trout: 2000-10-08 00:00:00__80",-121.381975,Kittitas County,47.429905,4382,1.9,47.429905 -121.381975
Icebox,Rainbow trout: 2007-08-04 00:00:00__35,-121.300791,Kittitas County,47.472974,5389,0.6,47.472974 -121.300791
Gold,"Rainbow trout: 2013-08-18 00:00:00__80,Rainbow trout: 2012-08-20 00:00:00__80,Rainbow trout: 2011-08-28 00:00:00__80,Rainbow trout: 2010-09-09 00:00:00__80,Rainbow trout: 2009-08-23 00:00:00__80,Rainbow trout: 2008-08-24 00:00:00__40,Rainbow trout: 2007-09-09 00:00:00__40,Rainbow trout: 2006-09-17 00:00:00__40,Rainbow trout: 2005-08-07 00:00:00__60,Rainbow trout: 2004-09-12 00:00:00__60,Rainbow trout: 2003-08-18 00:00:00__69,Rainbow trout: 2002-09-22 00:00:00__60,Rainbow trout: 2001-09-09 00:00:00__40,Rainbow trout: 2000-10-08 00:00:00__60",-121.35,Kittitas County,47.407431,4785,3.6,47.407431 -121.35
Glacier,"Golden trout: 2009-09-12 00:00:00__997,Golden trout: 2004-09-23 00:00:00__1,000",-121.296072,Kittitas County,47.467546,4744,20.2,47.467546 -121.296072
Hibox,"Rainbow trout: 2012-10-07 00:00:00__110,Rainbow trout: 2008-09-28 00:00:00__110,Rainbow trout: 2004-09-24 00:00:00__109,Rainbow trout: 2000-10-24 00:00:00__120",-121.275975,Kittitas County,47.420676,4628,2.4,47.420676 -121.275975
Gallaher Head,"Rainbow trout: 2012-10-05 00:00:00__75,Rainbow trout: 2012-07-28 00:00:00__75,Rainbow trout: 2009-09-12 00:00:00__150,Rainbow trout: 2006-08-13 00:00:00__150,Rainbow trout: 2002-09-15 00:00:00__120",-120.978167,Kittitas County,47.442861,5627,2.9,47.442861 -120.978167
Frog Pothole,Cutthroat trout: 2007-07-22 00:00:00__50,-121.430489,Kittitas County,47.385101,3596,0.2,47.385101 -121.430489
Frog,"Cutthroat trout: 2011-09-09 00:00:00__100,Cutthroat trout: 2007-07-22 00:00:00__100",-121.42942,Kittitas County,47.384338,3544,0.7,47.384338 -121.42942
Fireweed Lk 2,Cutthroat trout: 2001-08-30 00:00:00__60,-121.396439,Kittitas County,47.323159,4070,0.9,47.323159 -121.396439
Fireweed Lk 1,"Cutthroat trout: 2013-08-07 00:00:00__80,Cutthroat trout: 2010-10-02 00:00:00__27,Cutthroat trout: 2007-09-14 00:00:00__299,Cutthroat trout: 2004-09-23 00:00:00__120,Cutthroat trout: 2001-08-30 00:00:00__60",-121.396653,Kittitas County,47.324467,4070,1.6,47.324467 -121.396653
Divide,"Cutthroat trout: 2012-10-05 00:00:00__130,Cutthroat trout: 2009-08-16 00:00:00__130,Rainbow trout: 2006-08-09 00:00:00__130,Rainbow trout: 2002-08-30 00:00:00__130",-121.42754,Kittitas County,47.400907,3873,2.2,47.400907 -121.42754
Diamond,"Cutthroat trout: 2011-09-17 00:00:00__300,Cutthroat trout: 2008-08-26 00:00:00__315,Cutthroat trout: 2003-08-08 00:00:00__220",-121.161451,Kittitas County,47.442766,4950,4.7,47.442766 -121.161451
Devils Slide,"Rainbow trout: 2011-08-09 00:00:00__150,Rainbow trout: 2003-07-31 00:00:00__300",-121.003066,Kittitas County,46.977441,4400,2.2,46.977441 -121.003066
Deer 1,"Rainbow trout: 2010-09-26 00:00:00__219,Rainbow trout: 2006-08-24 00:00:00__218,Rainbow trout: 2002-09-16 00:00:00__220",-121.141355,Kittitas County,47.534655,4580,2.7,47.534655 -121.141355
Cottonwood,Rainbow trout: 2001-07-30 00:00:00__390,-121.431365,Kittitas County,47.349133,3914,8.3,47.349133 -121.431365
Cottonwood - Upper,"Rainbow trout: 2012-09-18 00:00:00__50,Rainbow trout: 2012-08-14 00:00:00__50,Rainbow trout: 2009-09-22 00:00:00__100,Rainbow trout: 2006-10-14 00:00:00__100,Rainbow trout: 2003-08-26 00:00:00__100,Rainbow trout: 2000-08-31 00:00:00__110",-121.437165,Kittitas County,47.351026,4072,0.9,47.351026 -121.437165
Cooper Lake,"Cutthroat trout: 2003-09-11 00:00:00__11,259,Cutthroat trout: 2000-08-29 00:00:00__12,662,Cutthroat trout: 2000-08-29 00:00:00__12,662",-121.176924,Kittitas County,47.426187,2792,129.4,47.426187 -121.176924
Chikamin Pot 2,Rainbow trout: 2000-08-26 00:00:00__100,-121.302089,Kittitas County,47.477671,5712,1.9,47.477671 -121.302089
Chanty,"Rainbow trout: 2012-08-29 00:00:00__200,Rainbow trout: 2009-06-30 00:00:00__200",-121.227653,Kittitas County,47.280315,2350,1.2,47.280315 -121.227653
Box Canyon,"Cutthroat trout: 2012-09-03 00:00:00__110,Cutthroat trout: 2009-08-24 00:00:00__110,Cutthroat trout: 2006-09-30 00:00:00__110,Cutthroat trout: 2003-08-08 00:00:00__110,Cutthroat trout: 2000-08-10 00:00:00__95",-121.324422,Kittitas County,47.412602,4510,1.7,47.412602 -121.324422
Baker (Thetis),"Golden trout: 2002-09-26 00:00:00__400,Rainbow trout: 2007-08-14 00:00:00__192,Rainbow trout: 2007-08-13 00:00:00__200,Rainbow trout: 2004-08-28 00:00:00__399",-121.301709,Kittitas County,47.351427,4434,4.7,47.351427 -121.301709
Alta Mtn Pot 1,"Rainbow trout: 2013-08-20 00:00:00__30,Rainbow trout: 2007-07-23 00:00:00__30",-121.325012,Kittitas County,47.437467,5512,0.5,47.437467 -121.325012
Mig,"Rainbow trout: 2013-07-23 00:00:00__50,Rainbow trout: 2012-09-15 00:00:00__50,Rainbow trout: 2012-08-21 00:00:00__25,Rainbow trout: 2011-09-10 00:00:00__25,Rainbow trout: 2011-09-05 00:00:00__10,Rainbow trout: 2011-08-31 00:00:00__15,Rainbow trout: 2010-07-20 00:00:00__50,Rainbow trout: 2009-09-09 00:00:00__50,Rainbow trout: 2008-08-19 00:00:00__50,Rainbow trout: 2007-09-06 00:00:00__50,Rainbow trout: 2006-09-14 00:00:00__50,Rainbow trout: 2005-07-23 00:00:00__50,Rainbow trout: 2004-10-09 00:00:00__50,Rainbow trout: 2003-07-20 00:00:00__50,Rainbow trout: 2002-09-07 00:00:00__50,Rainbow trout: 2001-07-21 00:00:00__50,Rainbow trout: 2000-09-09 00:00:00__50",-121.086221,King County,47.703824,4673,2,47.703824 -121.086221
Alta Mtn Pot 2,"Rainbow trout: 2013-08-20 00:00:00__100,Rainbow trout: 2007-07-23 00:00:00__90",-121.327748,Kittitas County,47.437594,5635,1.4,47.437594 -121.327748
Unnamed - L5032,"Rainbow trout: 2010-09-19 00:00:00__40,Rainbow trout: 2004-08-21 00:00:00__40",-121.116649,Chelan County,47.664683,5668,2,47.664683 -121.116649
Unnamed - L28791,Rainbow trout: 2003-08-05 00:00:00__48,-121.043756,Chelan County,47.536925,6117,0.3,47.536925 -121.043756
Windy,"Golden trout: 2009-09-15 00:00:00__110,Golden trout: 2002-09-28 00:00:00__120",-120.867605,Chelan County,47.562951,6998,1.2,47.562951 -120.867605
Unnamed - L28741,Rainbow trout: 2006-07-28 00:00:00__100,-121.028225,Chelan County,47.53217,6040,1.5,47.53217 -121.028225
Two Little - S'Most,"Cutthroat trout: 2013-09-07 00:00:00__110,Cutthroat trout: 2008-10-02 00:00:00__110,Cutthroat trout: 2003-10-21 00:00:00__203",-120.623264,Chelan County,47.932713,5834,2.4,47.932713 -120.623264
Twin Lake 2,"Cutthroat trout: 2005-09-07 00:00:00__40,356,Cutthroat trout: 2004-09-22 00:00:00__33,182,Cutthroat trout: 2000-09-25 00:00:00__23,162,Cutthroat trout: 2000-09-20 00:00:00__10,880",-120.837941,Chelan County,47.908991,2829,256.5,47.908991 -120.837941
Twin Lake 1,"Cutthroat trout: 2000-09-18 00:00:00__3,479",-120.857379,Chelan County,47.923122,2826,32.4,47.923122 -120.857379
Top,"Rainbow trout: 2013-09-23 00:00:00__570,Rainbow trout: 2008-09-13 00:00:00__576,Rainbow trout: 2003-08-29 00:00:00__576",-121.149793,Chelan County,47.881704,4597,7.8,47.881704 -121.149793
Thunder Mtn 2,"Rainbow trout: 2010-09-20 00:00:00__120,Rainbow trout: 2005-09-28 00:00:00__119,Rainbow trout: 2001-08-25 00:00:00__199",-121.121702,Chelan County,47.656925,6112,3.3,47.656925 -121.121702
Swimming Deer,"Rainbow trout: 2013-09-15 00:00:00__120,Rainbow trout: 2011-08-31 00:00:00__119,Rainbow trout: 2009-08-30 00:00:00__120,Rainbow trout: 2007-09-27 00:00:00__120,Rainbow trout: 2005-08-22 00:00:00__120,Rainbow trout: 2003-08-02 00:00:00__120,Rainbow trout: 2001-09-01 00:00:00__200",-121.062027,Chelan County,47.710452,4909,2.1,47.710452 -121.062027
Swedes,"Rainbow trout: 2009-08-06 00:00:00__179,Rainbow trout: 2000-09-15 00:00:00__155",-121.092605,Chelan County,47.591207,5915,3.4,47.591207 -121.092605
